Hour	 Total_subsurface_storage	 Total_surface_storage	 Total_surface_runoff	 ET	
1906	 2403737744.2189965	 669.8333111902481	 1011.8639726206803	 0	
1907	 2401729826.6420283	 670.0753634880572	 1012.3570202038111	 0	
1908	 2399795007.608683	 670.1869760050658	 1012.584303723606	 0	
1909	 2397931269.3133454	 670.2223408490481	 1012.6605434002882	 0	
1910	 2396131001.8775287	 670.231443730473	 1012.6821171928644	 0	
1911	 2394382796.928726	 670.1913389104412	 1012.6154586117593	 0	
1912	 2392694281.8050776	 670.175302042549	 1012.5863109214238	 0	
1913	 2391055927.898124	 670.15759202164	 1012.5571559890199	 0	
1914	 2389469379.173275	 670.1195308716719	 1012.4932343548921	 0	
1915	 2387923406.153032	 670.0998330668195	 1012.4596774375844	 0	
1916	 2386418788.428346	 670.0903535876145	 1012.4461038300324	 0	
1917	 2384953672.7082534	 670.0832516739786	 1012.4382984672853	 0	
1918	 2383523902.5411377	 670.0733791829267	 1012.4263390834241	 0	
1919	 2382128743.6489034	 670.0613784772682	 1012.4106927935694	 0	
1920	 2380767076.7513022	 670.0441800071644	 1012.38602952037	 0	
1921	 2379441044.076377	 670.0879782760652	 1012.4672900045401	 0	
1922	 2378143070.150992	 670.1077734801682	 1012.5133446316727	 0	
1923	 2376873125.717896	 670.105372056688	 1012.518967982135	 0	
1924	 2375629018.409884	 670.0969699788442	 1012.5117736823038	 0	
1925	 2374407233.3230853	 670.0532201707128	 1012.4424500027034	 0	
1926	 2373207648.2488055	 669.982137264404	 1012.3221141884932	 0	
1927	 2372032776.7897453	 669.9544047440484	 1012.2744018815156	 0	
1928	 2370878581.4881935	 669.9221547614691	 1012.2234588291324	 0	
1929	 2369640410.2138515	 669.5395208079659	 1011.5635041678206	 0	
1930	 2368547645.288073	 669.8118221411911	 1012.0061850915833	 0	
1931	 2367462851.7556343	 669.8898274272045	 1012.1765441364456	 0	
1932	 2366393134.259784	 669.9359696187609	 1012.2770900850005	 0	
1933	 2365352459.7526875	 670.0030709138555	 1012.4086388060251	 0	
1934	 2364324285.3121233	 670.0081704775255	 1012.4340035604454	 0	
1935	 2363298060.6128917	 669.9308270587751	 1012.3098210419196	 0	
1936	 2362300976.2276025	 669.9075437769485	 1012.2707562597506	 0	
1937	 2361317834.9593964	 669.8832287599259	 1012.2351267908463	 0	
1938	 2360354685.829029	 669.8371276398875	 1012.1622763694972	 0	
1939	 2359399078.6534047	 669.7985665001903	 1012.1004522709671	 0	
1940	 2358456882.5274925	 669.7695623835176	 1012.0559604376833	 0	
1941	 2357528169.4442544	 669.741951549969	 1012.0150721781199	 0	
1942	 2356618425.2056603	 669.8108336535714	 1012.1422038532032	 0	
1943	 2355719991.179729	 669.8613250998495	 1012.2418039372554	 0	
1944	 2354830319.4273467	 669.8482954902125	 1012.227993696862	 0	
1945	 2353946421.193278	 669.7658677093575	 1012.0872094465119	 0	
1946	 2352963885.169112	 669.1580930077176	 1011.0264483541602	 0	
1947	 2352002716.184529	 667.8816720662825	 1008.7545037811378	 0	
1948	 2351067637.8752985	 667.2579500576788	 1007.5448003765191	 0	
1949	 2350135994.286714	 666.7819306134583	 1006.6566639251473	 0	
1950	 2349213505.158116	 666.5044224954884	 1006.1349533456337	 0	
1951	 2348270740.134043	 666.4001256313219	 1005.934304812935	 0	
1952	 2347342300.552116	 666.3736242913648	 1005.8866915457131	 0	
1953	 2346426496.4334426	 666.3612557332864	 1005.872243911293	 0	
1954	 2345361652.3649616	 665.4700948392248	 1004.3469542139085	 0	
1955	 2344343244.830159	 664.1379836982667	 1001.9829125270134	 0	
1956	 2343350807.306443	 662.892458569293	 999.7306922517633	 0	
1957	 2350311837.330215	 663.5609085298628	 1000.7444541463263	 0	
1958	 2357390943.617851	 665.2866450981579	 1003.7518282051528	 0	
1959	 2355568996.9782553	 667.9922221477177	 1008.5964100947617	 0	
1960	 2353944575.186735	 669.0020999768759	 1010.6374708309188	 0	
1961	 2352467215.159535	 669.3531840495692	 1011.3752903945868	 0	
1962	 2351114389.466727	 669.4335797610661	 1011.5619985056669	 0	
1963	 2349850622.773012	 669.422974098905	 1011.5600727814726	 0	
1964	 2348660235.549668	 669.381220146954	 1011.4959315056678	 0	
1965	 2347536128.727959	 669.3366662342019	 1011.4254237129998	 0	
1966	 2346474771.649918	 669.394304099511	 1011.5330216678008	 0	
1967	 2345466392.507326	 669.477251211062	 1011.6956591358455	 0	
1968	 2344501843.441465	 669.5327111718592	 1011.814210090686	 0	
1969	 2343571440.0494695	 669.5307453132069	 1011.8303149844227	 0	
1970	 2342664352.9745135	 669.4245595149873	 1011.659218707515	 0	
1971	 2341541401.46126	 667.5497004768014	 1008.4156141947608	 0	
1972	 2340611481.0897126	 666.6160279861709	 1006.6180073585881	 0	
1973	 2339663385.3238106	 665.9876242290202	 1005.4480553450264	 0	
1974	 2338728366.8931413	 665.4881102427943	 1004.5392284042822	 0	
1975	 2337782219.742974	 665.3309883357978	 1004.2338724848317	 0	
1976	 2336861671.5286407	 665.3178875014713	 1004.2091311817647	 0	
1977	 2335949435.134645	 665.2613888512258	 1004.1252489489145	 0	
1978	 2335043547.549298	 665.7299912517033	 1004.9542027639395	 0	
1979	 2334215504.449642	 665.882960944878	 1005.2646039246731	 0	
1980	 2333511287.4708776	 667.8315086249188	 1008.6460118314266	 0	
1981	 2332807406.2453995	 668.3478280093042	 1009.7430201712287	 0	
1982	 2331941172.6763434	 665.7815923735319	 1005.3975050441682	 0	
1983	 2342746892.2800875	 664.2509486789475	 1002.5095491295932	 0	
1984	 2354151283.536754	 697.5245358246796	 1061.3208399909495	 0	
1985	 2362897107.962681	 700.3947619990287	 1070.1446944996515	 0	
1986	 2370369145.798044	 701.7048528881672	 1073.1119575504576	 0	
1987	 2374837504.6633635	 695.467047973572	 1061.8537617319923	 0	
1988	 2377923314.185167	 690.1567609129298	 1051.5116743103029	 0	
1989	 2380308250.8179197	 685.3387105184448	 1042.198416673001	 0	
1990	 2381064884.3147235	 681.8420008260433	 1035.391599734887	 0	
1991	 2379563237.930287	 675.1928736717052	 1023.2447386274113	 0	
1992	 2375990450.873923	 671.0246902461165	 1015.2374661995962	 0	
1993	 2374746759.2874274	 670.2434712056369	 1013.4043569931893	 0	
1994	 2374881703.7536664	 678.1545207653215	 1027.1752912729241	 0	
1995	 2376580433.24295	 686.5899501829819	 1043.0235607831492	 0	
1996	 2378484919.1689205	 691.5565697801518	 1052.9378051011358	 0	
1997	 2380524661.161729	 695.3259878821165	 1060.3591504868732	 0	
1998	 2382391244.784354	 697.4940397537225	 1064.7283704147178	 0	
1999	 2387247775.476479	 709.1051415965286	 1086.2551037174785	 0	
2000	 2398794789.220403	 739.5984610989335	 1144.9804967649363	 0	
2001	 2418046529.253438	 783.3182745153623	 1234.4638799011768	 0	
2002	 2441491483.5220613	 705.2054388308093	 1089.6577936045182	 0	
2003	 2431432890.8142734	 759.1622432342159	 1183.0069751021688	 0	
2004	 2557204523.8050456	 947.4545058889436	 1592.44175715539	 0	
2005	 2560254975.1012354	 1279.8867200361692	 2449.21007468252	 0	
2006	 2557344927.945431	 940.274153361604	 1619.980870967266	 0	
2007	 2550157134.479861	 803.382024888895	 1286.716318437275	 0	
2008	 2545398665.408092	 757.0051014761711	 1177.8325143105933	 0	
2009	 2541240265.8284955	 735.0169695695892	 1131.8285809264778	 0	
2010	 2537216556.523859	 720.7950417157667	 1104.8735622200034	 0	
2011	 2545709638.5173783	 769.5601305095827	 1190.8450479149903	 0	
2012	 2559584018.6035967	 816.0885902033571	 1285.4707576038957	 0	
2013	 2552445404.0241337	 744.5476943487446	 1156.8354666347552	 0	
2014	 2543699322.8226123	 702.89599915958	 1076.616951651922	 0	
2015	 2536441327.0534406	 687.6218598943279	 1045.724320912513	 0	
2016	 2529674708.6436214	 680.1812961458647	 1030.7341143785175	 0	
2017	 2523173855.230534	 675.5618207934075	 1021.785408296692	 0	
2018	 2517082149.4195004	 673.7961500746313	 1018.215779423713	 0	
2019	 2511722891.2101326	 673.2237764068743	 1017.0364574537582	 0	
2020	 2506917974.4966607	 673.0410349077392	 1016.665910717891	 0	
2021	 2502546846.75555	 672.972011590948	 1016.5282652066212	 0	
2022	 2498508055.019444	 672.7083794109872	 1016.0524609269712	 0	
2023	 2494765806.2707458	 672.6560186755288	 1015.9225095523732	 0	
2024	 2491259430.7040577	 672.5815108681758	 1015.7730229801405	 0	
2025	 2487964456.1365366	 672.5854835422714	 1015.7611063243954	 0	
2026	 2484844879.4675145	 672.539004755787	 1015.6694293459966	 0	
2027	 2487939008.172896	 678.5434296342236	 1026.2467252142676	 0	
2028	 2492496754.4446154	 704.3727853384183	 1073.6107419075854	 0	
2029	 2497840241.950391	 714.0300997720148	 1094.398240309285	 0	
